ID,Agency Name,Required Report Name,Report Description,Frequency,Frequency Integer,Other Frequency Description,Start Date,End Date,Authorizing Resource (Charter and Code),Authorizing Resource (Local Law),Formatted Start Date,Formatted End Date
277,"Criminal Justice, Mayor's Office of (MOCJ)",Report of the Mayor's Office of Special Enforcement on Inspections of Nightlife Establishments,A report on inspections of nightlife establishments overseen by the office of special enforcement,Every X months,3,,January 1 2020,,"New York City Administrative Code Title 9, Subchapter 3, Section 309",LL 220/2019   ,2020-01-01,
278,"Criminal Justice, Mayor's Office of (MOCJ)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
279,"Criminal Justice, Mayor's Office of (MOCJ)",Report on Citywide Summons,"Report on the number of criminal summonses, total and disaggregated",Every X months,6,,January 30 2020,,"NYC Administrative Code Title 9, Section 303",LL 23/2018,2020-01-30,
280,"Criminal Justice, Mayor's Office of (MOCJ)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
281,"Criminal Justice, Mayor's Office of (MOCJ)",Report on the Closing of Rikers Island,A progress report on closing jails on Rikers Island and opening jail facilities outside Rikers Island,Every X months,6,,March 1 2020,,"New York City Administrative Code Title 9, Section 307(a)",LL 192/2019,2020-03-01,
282,"Criminal Justice, Mayor's Office of (MOCJ)",Social Services Offered in High-Crime Areas,Report on current services offered in any neighborhood tabulation area in which 20 percent or greater of the population is below the poverty line as defined by the American Community Survey and that overlaps with or is contiguous to a priority area,Every X years,1,,November 1 2020,,"New York City Administrative Code Title 14, Section162",LL 55/2016,2020-11-01,
283,"Criminal Justice, Mayor's Office of (MOCJ)",Supplemental Annual Reports,Report updating on any progress in the implementation of the recommendations in the initial report,,,Annually as needed until 4 years after the initial report is issued,,,,LL 78/2018,,
284,"Criminal Justice, Mayor's Office of (MOCJ)",Twice Yearly  Report on Bail and the Criminal Justice System,"Report on bail and the criminal justice system, including inmates in the custody of the Department of Correction",Every X months,6,,April 1 2020,,"New York City Administrative Code Title 9, Section 306, paragraphs 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, and 16",LL 86/2015,2020-04-01,
285,"Cultural Affairs, Department of (DCLA)",Annual Report on the Cultural Institutions Group,"Data in the aggregate regarding the cultural institutions group to the extent such data is made available to the department, including at a minimum: a. total visitor attendance; b. number of free or reduced-price visits; c. total attendance by public school students through school-organized visits; d. total attendance by non-public school students through school-organized visits; e. number of partnerships with public schools; f. total number of free admission hours; g. number of programs, such as performances, exhibitions, and lectures, related to the cultural institution's mission or discipline and targeted to a general audience; and h. number of programs that are targeted to or designed to reach specific groups of people including, but not limited to, seniors or youth.",Every X years,1,,September 17 2020,,"New York City Charter Chapter 67, Section 2507",LL 9/2017,2020-09-17,
286,"Cultural Affairs, Department of (DCLA)",Cultural affairs advisory commission report on data and cultural matters,The advisory commission uses data and reports to advise the commissioner and the mayor with respect to cultural activities within the city. All city agencies are directed to cooperate with the commission in pursuance of this activity. There shall be in the department a cultural affairs advisory commission that shall (c) compile data and reports and submit its findings to the commissioner and the mayor. With Advisory Commission,,,As needed,,,"New York City Charter Chapter 67, Section 2505","LL 91/1979, LL 3/1983, LL 0/1983, , LL 68/1993",,
287,"Cultural Affairs, Department of (DCLA)",Expenditure and Capital Budget Estimates,"The Department of Cultural Affairs consolidates the expenditure and capital estimates from all agencies and bodies that have anything to do with cultural affairs in the city. The expense budget estimates are submitted to the director of management and budget, while the capital budget estimates are sent to the mayor, borough presidents and the council.",Every X years,1,,January 31 2020,,"New York City Charter Chapter 67, Section 2504",,2020-01-31,
288,"Cultural Affairs, Department of (DCLA)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
289,"Cultural Affairs, Department of (DCLA)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
290,"Cultural Affairs, Department of (DCLA)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
291,"Cultural Affairs, Department of (DCLA)",Report on Cultural Plan Progress,,Every X years,2,,January 1 2020,,,LL 46/2015,2020-01-01,
292,"Cultural Affairs, Department of (DCLA)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
293,"Cultural Affairs, Department of (DCLA)",Report on Percent for Arts,Report on information about works of art that were included in a capital project,,,As needed,,,"New York City Charter Chapter 9, Section 224(f) ",LL 21/2017,,
294,"Data Analytics, Mayor's Office of (MODA)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
295,"Data Analytics, Mayor's Office of (MODA)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
296,"Data Analytics, Mayor's Office of (MODA)",Report on Agency Pay Equity,"Report including aggregated data from each agency showing the frequency of full-time, part-time and seasonal employees by agency, EEO-4 job group, pay band, racial group, ethnicity and gender in a format that prevents the disclosure of the racial group, ethnicity and gender of any employee, while maximizing the level of detail at which such data is reported, and after the first annual report, also including recommendations",Every X years,1,,May 31 2020,,"New York City Administrative Code Title 3, Section 171(b)(1)",LL 18/2019,2020-05-31,
297,"Data Analytics, Mayor's Office of (MODA)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
298,"Data Analytics, Mayor's Office of (MODA)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
299,"Design and Construction, Department of (DDC)",Annual Report on City-Owned Buildings Using Geothermal Energy (Agency responsible has not yet been designated - DDC may be the most appropriate agency according to OLTPS),"No later than 6 months after the end of each fiscal year, a report containing: 1. A brief description of such project; 2. The street address of such project and the community district and council district in which such project is located; 3. Whether installation of a geothermal system for such project was determined to be cost-effective based on the use of the screening tool described in subdivision b of this section; 4. Whether installation of a geothermal system was selected for the project based on the detailed engineering and multi-criteria analysis pursuant to subdivision d of this section; and 5. Whether a geothermal system was installed for such project and, if not, the type of system installed.",Every X years,1,,December 31 2020,,"New York City Administrative Code, Title 3, Section 125(e)",LL 6/2016,2020-12-31,
300,"Design and Construction, Department of (DDC)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
301,"Design and Construction, Department of (DDC)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
302,"Design and Construction, Department of (DDC)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
303,"Design and Construction, Department of (DDC)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
304,"Design and Construction, Department of (DDC)",Report on Study of Efficiency of Existing Geothermal Systems in City-Owned Buildings,"Report including 1. the cost of installing any such geothermal system; 2. any problems encountered in installing any such system and solutions developed to address such problems and any costs or savings associated with such solutions; 3. the cost of operating any such system, including energy consumption, maintenance, and other expenditures; 4. any problems encountered in operating any such system and solutions developed to address such problems; 5. an energy modeling analysis of the performance of any such system;  6. comparisons of such performance to the performance of conventional heating and cooling systems located in comparable city buildings; and 7. recommendations for continuing or expanding the use of geothermal systems.",,,No later than 2 years after installation of remote monitoring sensors and data loggers,,,"New York City Administrative Code, Title 3, Section 128(d)",LL 178/2018,,
305,Districting Commission,Districting Plan,Decennial census based districting,Every X years,10,,December 31 2020,,"New York City Charter Chapter 2, Section 51",,2020-12-31,
306,Economic Development Corporation (EDC),Annual Compliance Report of the Industrial Development Agency in Attempting to Recapture Incentives,"Report detailing its efforts to provide living wage jobs, indicating whether an agreement with the economic development subsidy recipient mandated the payment of a living wage for any jobs created by the project. If the agreement includes such a mandate, the city or city economic development entity will provide an analysis outlining the number of living wage jobs anticipated to be created beyond those jobs for which a living wage is required pursuant to this section and a description of the applicable penalties if the wage requirement in the agreement is not ultimately fulfilled. If the agreement does not include such a mandate, the city or city economic development entity will explain why such an agreement could not be reached. With Industrial Development Agency (NYCIDA)",Every X years,1,,January 31 2020,,"New York City Administrative Code Title 22, Section 823 (previously City Charter Section1301(1)(b-1), which was repealed in December 2017)","LL 61/1991, LL 69/1993, LL 24/1994, LL59/1996, LL 52/2003, LL 48/2005, LL 62/2010, LL 37/2012, LL 102/2013, LL 222/2017",2020-01-31,
307,Economic Development Corporation (EDC),Annual Investment Report of the Industrial Development Agency,With Industrial Development Agency (NYCIDA),Every X years,1,,January 1 2020,,"New York City Charter Chapter 56, Section 1301",,2020-01-01,
308,Economic Development Corporation (EDC),Annual Report on Compliance with Minority and Women-Owned Business Contracting Goals,"Report assessing and evaluating each business entity to which it provided assistance in the form of a loan, grant or tax benefit in excess of one hundred fifty thousand dollars, or sale or lease of city-owned land for a project expected, in accordance with information provided by the applicant for the sale or lease, to retain or create not less than twenty-five jobs, to determine whether they met minority and women-owned business goals, if any, pursuant to the contract",Every X years,1,,January 30 2020,,"New York City Charter Chapter 56,  Section 1301(1)(b-2)",LL 109/2016,2020-01-30,
309,Economic Development Corporation (EDC),Annual report on covered contract information,"Report identifying contracted entity's retention or designation of a person or organization to engage in lobbying or lobbying activities before the council or any member thereof, the city planning commission, a borough president, a borough board or a community board and the contracted entity's making or incurring an expenditure to, or on behalf of, a person or organization to engage in lobbying or lobbying activities before the council or any member thereof, the city planning commission, a borough president, a borough board or a community board",Every X years,1,,January 31 2020,,"New York City Charter Section 1301(1)(repealed December 2017); New York City Administrative Code Title 22, Section 823","LL 62/2010, LL 222/2016",2020-01-31,
310,Economic Development Corporation (EDC),Fair Wages For New Yorkers Act,"Upon entering into any agreement to develop property for an economic development project, the city or city economic development entity shall submit to the council a report detailing its efforts to provide living wage jobs",Every X years,1,,January 31 2020,,New York City Administrative Code Title 6 Section 134(h)(2),LL 037/2012,2020-01-31,
311,Economic Development Corporation (EDC),"Impact statement on covered contract additional information, for assistance under Administrative Code Title 22, Section 823","An impact statement including, at a minimum, an estimate of the fiscal impact of such assistance upon the revenues and expenditures of the city during (i) the fiscal year in which such assistance commences, (ii) the succeeding fiscal year, and (iii) the first fiscal year in which the full fiscal impact of the economic development project is expected to occur, and job creation estimates for the first fiscal year in which the full fiscal impact of the economic development project is expected to occur",,,No later than 30 days before the commencement of such assistance,,,"New York City Administrative Code Title 22, Section 824(a)(1)",LL 220/2017,,
312,Economic Development Corporation (EDC),Quarterly Expenditure Reports,"Any public or private agency, authority, corporation, board or commission that receives which receives city funds and is not otherwise subject to section 106 of this chapter should file quarterly expenditure reports",Every X months,3,,January 31 2020,,"New York City Charter Chapter 6, Section 119",,2020-01-31,
313,Economic Development Corporation (EDC),Report on Lobbying Activities by the Economic Development Corporation,"Upon entering into any agreement to develop property for an economic development project, the city or city economic development entity shall submit to the council a report detailing its efforts to provide living wage jobs. Such report shall indicate whether its agreement with the economic development subsidy recipient mandated the payment of a living wage for any jobs created by the project.",Every X months,3,,January 30 2020,,New York City Administrative Code Title 22 Section 802,"LL 102/2013, LL 222/2017",2020-01-30,
314,Economic Development Corporation (EDC),Report on Recovery of Economic Development Benefits,"Report including (i) descriptions of enforcement actions taken with regard to events of default as defined in such agreements, (ii) the persons against which enforcement actions have been undertaken, (iii) the number of ongoing projects outstanding, (iv) the percentage of projects with respect to which enforcement actions are being undertaken as compared against the number of ongoing projects outstanding, (v) events of default under such agreements for which no enforcement actions are currently contemplated, and (vi) the amounts recovered through enforcement actions",Every X months,2,,January 1 2020,,"New York City Administrative Code, Title 22, Section 824(a)(2)",LL 221/2017,2020-01-01,
315,"Economic Opportunity, Mayor's Office for (Opportunity)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
316,"Economic Opportunity, Mayor's Office for (Opportunity)",Poverty Measure Report,A description of the city's efforts to reduce the rate of poverty in the city,Every X years,1,,March 31 2020,,"New York City Charter Chapter 1, Section 16(b)",LL 177/2017,2020-03-31,
317,"Economic Opportunity, Mayor's Office for (Opportunity)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
318,"Economic Opportunity, Mayor's Office for (Opportunity)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
319,"Economic Opportunity, Mayor's Office for (Opportunity)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
320,"Education, Department of (DOE)",Air Pollution Control,"A quantitative report submitted by the commissioner detailing the number of vehicles contracted as school buses to meet the transportation needs of the school system and demonstrating the extent of their compliance with the requirements to be fitted with diesel engines that meet the goals of pre-determined pollution standards, including data on the age and crankcase ventilation retrofit status of every school bus pursuant to a school bus contract",Every X years,1,,December 31 2020,,"New York City Charter and Code, Title 24, Section 163.9",LL38/2015,2020-12-31,
321,"Education, Department of (DOE)",Annual Report,"Quantitative presentation of number of personnel, infrastructure and utilization rates of educational facilities in the city",Every X years,1,,November 30 2020,,"New York City Charter Chapter 20, Section 522(a)",,2020-11-30,
322,"Education, Department of (DOE)",Annual Report Detailing DOE's Procurement Activities that are Consistent with the City's Environmental Purchasing Standards,Report detailing the department's procurement activities that are consistent with the city's environmental purchasing standards,Every X years,1,,October 1 2020,,New York City Administrative Code Title 6 Section 305(b),LL 118/2005,2020-10-01,
323,"Education, Department of (DOE)",Annual Report on Demographics of Students in Pre-kindergarten Programs Operated by the Department,"For each school that offers a pre-kindergarten program, the total number of students enrolled in the preceding school year in such program, disaggregated by race or ethnicity and gender",Every X years,1,,December 1 2020,,"New York City Administrative Code Title 21-a, Section 957.2","LL 223/2019, LL 59/2015",2020-12-01,
324,"Education, Department of (DOE)",Annual Report on Guidance Counselors and Social Workers,"Report of information regarding guidance counselors and social workers for the current school year. Such report shall include, but not be limited to: (i) the number of full and part-time guidance counselors and social workers in each school, (ii) the guidance counselor and social worker to student ratio in each school, (iii) whether the guidance counselor or social worker is providing counseling assistance to more than one school, (iv) the number of guidance counselors and social workers who provide counseling services as mandated by an IEP as of December 15 of the current school year, (v) the number of staff in each school who received professional development or training in postsecondary planning as of the prior school year, and (vi) the number of licensed and certified bilingual guidance counselors and social workers in each school. Such report shall also include the number of guidance counselors and social workers in the absent teacher reserve pool for grades seven through twelve, and information regarding any guidance memorandums issued by the department regarding college preparedness. Such report shall include demographic information for students in each school, including, but not limited to race, ethnicity, English language learner status, special education status, and the percentage of students eligible for free and reduced price lunch pursuant to guidelines promulgated by the United States department of agriculture.",Every X years,1,,February 15 2020,,"New York City Administrative Code Title 21-a, Section 952",LL 56/2014,2020-02-15,
325,"Education, Department of (DOE)",Annual Report on Lactation Rooms,Annual report summarizing policies for providing lactation rooms to students and their parents and guardians in NYC public schools,Every X years,1,,August 1 2020,,"New York City Administrative Code Title 17, Section 17-199.1",LL 184/2018,2020-08-01,
326,"Education, Department of (DOE)",Annual Report on PTA Funding,Report regarding the income and total expenditure for each PA and PTA in the prior school year,Every X years,1,,December 1 2020,,"New York City  Administrative Code Title 21-A,  Chapter 23, Section 998(b)",LL 171/2018,2020-12-01,
327,"Education, Department of (DOE)",Annual Report on School Incidents,"Annual report on crimes committed in schools and disruptive, dangerous or violent behavior",Every X years,1,,October 1 2020,,"New York City Charter,  Section 529",,2020-10-01,
328,"Education, Department of (DOE)",Annual Report on Staff Demographics,"A report for the previous school year including the following for each school: 1. The district borough number; and 2. The number of employees, disaggregated by: (a) Teaching staff;  (b) Leadership staff; and (c) Other professional and paraprofessional staff disaggregated by various factors",Every X years,1,,December 1 2020,,"New York City Administrative Code Title 21-a, Section 958",LL 226/2019,2020-12-01,
329,"Education, Department of (DOE)",Annual Report on Student Demographics in High Schools,"For each public high school, the total number of students enrolled in grades nine through twelve in the preceding school year and the number and percentage of such students who: 1.  Receive special education services; 2.  Are English language learners;  3.  Are eligible for the federal free or reduced price meals program; 4.  Reside in temporary housing; and   5.  Are enrolled over the counter, disaggregated by various factors",Every X years,1,,December 1 2020,,"New York City Administrative Code Title 21-a, Section 957.1","LL 223/2019, LL 59/2015",2020-12-01,
330,"Education, Department of (DOE)",Capacity and utilization data,Report on use of rooms and spaces in schools for specified purposes. With School Construction Authority,Every X years,1,,November 1 2020,,"New York City Charter Chapter 20, Section 522(g)",LL 60/2011,2020-11-01,
331,"Education, Department of (DOE)",Career and Technical Education Report,,Every X years,1,,April 30 2020,,"New York City Administrative Code Title 21-A, Section 971, expires 5 years after the local law effective date (so December 22, 2021)",LL 174/2016,2020-04-30,
332,"Education, Department of (DOE)",Class-size Report,Quantitative report on class size,Every X months,6,,February 15 2020,,"New York City Charter, Chapter 20, Section 522(c)",LL 125/2005,2020-02-15,
333,"Education, Department of (DOE)",Co-located Schools report,Report on information on all co-located schools for the prior school year including a comparison of demographic information and more,Every X years,1,,August 30 2020,,,LL 32/2014,2020-08-30,
334,"Education, Department of (DOE)",Data on the age and crankcase ventilation retrofit status of every school bus pursuant to a school bus contract,,Every X years,1,,January 1 2020,,"New York City Administrative Code Title 24, Section 163.7(i)",LL 038/2015,2020-01-01,
335,"Education, Department of (DOE)",Door alarms/training on student safety protocols (Avonte's Law),"Report regarding training on student safety protocols for department of education personnel. Such report shall include, but need not be limited to: (1) general details on the type and scope of the training administered, (2) the intended audience for each training, and (3) whether such training was mandatory for certain personnel",Every X years,1,,May 30 2020,,"New York City Charter Chapter 20, Section 528(d)",LL 36/2014,2020-05-30,
336,"Education, Department of (DOE)",Educational materials on drugs and opiates awareness and prevention,Educational materials on drugs and opiates awareness and prevention developed by the Department of Health and Mental Hygiene,,,Each academic year,,,"New York City Administrative Code Title 21-a, Section 969",LL 125/2018,,
337,"Education, Department of (DOE)",Incidents of Harassment in Schools,Statistical summary of all incidents of harassment that occurred on school premises or at a school function,Every X years,1,,July 30 2020,,"New York City Administrative Code Chapter 10, Section 137(d)",,2020-07-30,
338,"Education, Department of (DOE)",Language Access Implementation Plan/Local Law 30 of 2017 Report,,Every X years,3,,December 31 2020,,New York City Administrative Code Title 23 Section 1102(d),LL30/2017,2020-12-31,
339,"Education, Department of (DOE)",MTA New School Information,"Report including 1) the name and address of any school under the jurisdiction of the department of education that is to begin its first year of operation in the upcoming school year, the number of students enrolled in any such school, and the zip codes of the students and the percentage of such students in each such zip code attending each respective school; 2) the name and address of any school receiving an increase of 200 or more students enrolled for the upcoming school year, the zip codes of the new students enrolled in any such school, and the percentage of such new students in each such zip code",Every X years,1,,August 15 2020,,"New York City Charter Chapter 20, Section 530(a)",LL 62/2009,2020-08-15,
340,"Education, Department of (DOE)",Non-Standard Classrooms Report,"Temporary and non-standard classroom, class size in these classrooms, location by zip codes.",Every X years,1,,October 15 2020,,"New York City Charter Chapter 20, Section 522(b)",LL 122/2005,2020-10-15,
341,"Education, Department of (DOE)",PCB Reports,Report on progress of PCB lighting removal plan and efforts to address caulk in public schools,Every X years,1,,January 1 2020,,"New York City Charter Chapter 20, Section 523",LL 69/2011,2020-01-01,
342,"Education, Department of (DOE)",Physical Education Information,"Report on physical education programs in public schools as detailed, including also a summary of key findings, curricula, and if the department is not in full compliance with physical education requirements pursuant to the New York state education department regulations, steps the department will take to achieve full compliance.",Every X years,1,,August 31 2020,,"New York City  Administrative Code Title 21-A,  Chapter 7, Section 960","LL 102/2015, LL 126/2019, LL 127/2019",2020-08-31,
343,"Education, Department of (DOE)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
344,"Education, Department of (DOE)",Report Concerning Children Placed in Out-of-State Facilities (Billy's Law),"In compliance with NYS Social Services Law Section 483-d, a report reflecting placements of children in out-of-state residential services",Every X months,6,,February 1 2020,,"New York City Charter Chapter 20, Section 530(b)",LL 68/2009,2020-02-01,
345,"Education, Department of (DOE)",Report of the Fair Student Funding Task Force,"Report on the results of its review  categories, types of students, grade levels, and weights for funding allocations to meet the instructional needs of students citywide and recommendations ",Once,1,,January 1 2020,,,LL 17/2019,2020-01-01,
346,"Education, Department of (DOE)",Report of the Specialized High Schools Task Force,"A report on the Taskforce findings and recommendations regarding admissions standards. For each recommendation in the report, the taskforce shall include the number of taskforce members who voted in the affirmative, voted in the negative and abstained. Such report shall also include a description of any engagement with the department or stakeholders, and a summary of the public hearings held pursuant to subdivision e of this local law. ",Once,1,,May 1 2020,,,LL 208/2019,2020-05-01,
347,"Education, Department of (DOE)",Report on After School Athletic Funding,"An athletics report for the preceding academic year for each high school including 1. total funding provided by the department for athletics and the amount of such funding allocated for (i) coaches and athletic directors, (ii) other than personal service related to the public schools athletic league, and 2. total numbers of students participating in athletics and other ",Every X years,1,,December 1 2020,,"New York City  Administrative Code Title 21-A,  Chapter 7, Section 998(b)",LL 120/2019,2020-12-01,
348,"Education, Department of (DOE)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
349,"Education, Department of (DOE)",Report on available seats in school,"Report that shall include, but not be limited to, for each school, the total number of seats anticipated to be available in the following school year",Every X years,1,,May 15 2020,,"New York City  Administrative Code Title 21-A,  Chapter 23, Section 978(c)",LL 72/2018,2020-05-15,
350,"Education, Department of (DOE)",Report on Capital Projects in Schools,An itemized statement covering the status of every school capital project that was completed during the immediately preceding fiscal quarter or not completed but for which funding was appropriated,Every X months,3,,February 15 2020,,"New York City Charter Chapter 20, Section 521",LL 24/2003,2020-02-15,
351,"Education, Department of (DOE)",Report on Computer Science Education,"Report on numbers of students, programs and instructors in computer science programs",Every X years,1,,April 30 2020,,"New York City Administrative Code Title 21-A, Section 972, expires 10 years after effective date of local law, so ",LL 177/2016,2020-04-30,
352,"Education, Department of (DOE)",Report on Gender and Sexuality Alliances in Schools,"Report including 1. Whether such school has a GSA; 2. The number of teachers at such school that have received LGBTQGNC training; 3. The number of administrators, including the principal, at such school that have received LGBTQGNC training; and 4. A narrative description of the LGBTQGNC training offered to teachers and administrators, including whether any such training includes training related to GSAs",Every X years,1,,June 1 2020,,"New York City Administrative Code Title 21-A, Section 976(b)",LL 231/2017,2020-06-01,
353,"Education, Department of (DOE)",Report on Office of Pupil Transportation Investigations,"Report on 1.   The total number of calls from authorized parents and guardians received by the department about school bus transportation services, disaggregated by the nature of such calls;  2.  The total number of complaints from authorized parents and guardians received by the department about an employee of a school bus vendor, disaggregated by vendor, the nature of such complaint, whether such complaint led to a departmental determination of misconduct, and a description of the actions taken by the department for each complaint; and  3.   The total number of investigations of employees of school bus vendors opened by the department, including following a complaint by an authorized parent or guardian and any other source of information that may lead to such investigation; the number of investigations in which the department found that an employee of a school bus vendor engaged in misconduct; and descriptions of outcomes relating to any investigations in which the department found that an employee of a school bus vendor engaged in misconduct.",Every X months,6,,April 30 2020,,"New York City Administrative Code Chapter 21, Section 995",LL 31/2019,2020-04-30,
354,"Education, Department of (DOE)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
355,"Education, Department of (DOE)",Report on Pilot Program on School Start Times,"A report regarding the department's pilot program to review school start times and to determine the effect of such start times on adolescent health and well-being, including 1. The name of each school that participated in the pilot program; 2. The start times of each school that participated in the pilot program; 3. How such schools were selected for participation in the pilot program, including a description of any community outreach conducted in the selection of schools; and 4. The results of the pilot program.",Once,1,,September 30 2020,,,LL 173/2019,2020-09-30,
